title,summary,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,course_hours,price
Power electronic in an electric car Regenerative braking Week 2: Battery Technology for EVs,,NA,Self-paced on your time,SDG Academy,Guido Schmidt-Traub-Guillaume Lafortune-Jessica Espey,Intermediate,Data Analysis & Statistics,English,English,15,1987.5
Storage technologies for EV,,"27,814",Self-paced on your time,The University of Texas at Austin,Jonathan Valvano-Ramesh Yerraballi,Intermediate,Computer Science,English,English,80,3895.5
Battery working principles,,"12,458",Instructor-led on a course schedule,University of Hong Kong,Aaron Magnan-Park-Stacilee Ford-Gina Marchetti,Introductory,Humanities,English,"English, 中文",36,3975
Battery losses,,"8,621",Self-paced on your time,École polytechnique fédérale de Lausanne,Arne Seitz-Romain Guiet-Olivier Burri-Nicolas Chiaruttini,Intermediate,Data Analysis & Statistics,English,English,21,15820.5
Li-ion batteries ,,"7,654",Self-paced on your time,Universidad Autónoma de Madrid,Juan Antonio Chinchilla Peinado-Mónica Domínguez Martín-Liborio Hierro Sánchez-Pescador-Maravillas Espín Sáez,Introductory,Law,Español,Español,25,3895.5
Battery pack and battery management system Week 3. Charging Technology of EVs,,"10,127",Self-paced on your time,SDG Academy,Jeffrey D. Sachs,Introductory,History,English,"English, Русский",16,1987.5
AC charging - Type 1,2,"6,521",Self-paced on your time,The Smithsonian Institution,Margaret Weitekamp-Scott Mantz,Introductory,History,English,English,21,3180
DC charging - Chademo, Tesla,"15,701",Self-paced on your time,Inter-American Development Bank,Emiliana Vegas,Introductory,Education & Teacher Training,Español,Español,40,1987.5
Fast charging and its limitations,,NA,Self-paced on your time,IBM,Rav Ahuja-Upkar Lidder,Introductory,Computer Science,English,English,8,7870.5
Smart charging and applications,,"5,035",Self-paced on your time,Massachusetts Institute of Technology,Chappell Lawson-Daniel Pomeroy,Introductory,Communication,English,English,9,15820.5
Vehicle to grid (V2G) technology Week 4. Future trends in electric cars,,"10,736",Self-paced on your time,Wits University,Caitlin Blaser Mapitsa-Takunda Chirau,Introductory,Social Sciences,English,English,28,15820.5
Wireless charging of EV,,NA,Self-paced on your time,Tokyo Institute of Technology,Hiroto Tanaka-Cesar A. Hernandez Reyes,Introductory,Engineering,English,English,8,3895.5
On-road charging of EV,,NA,Self-paced on your time,Davidson College,Erland Stevens,Intermediate,Medicine,English,English,35,7870.5
Battery swap technology,,NA,Self-paced on your time,University of Hong Kong,Jukka Matinlinna-James Kit Hon Tsoi,Introductory,Medicine,English,English,16,11845.5
Solar powered EVs,,"9,668",Self-paced on your time,SDG Academy,Lisa Sachs-Patrick Heller-NR Faculty,Intermediate,Energy & Earth Sciences,English,"اللغة العربية, English, Español, Français, Русский",72,3895.5
"Charging EVs from renewables""",https://www.edx.org/course/electric-cars-technology,"15,860",Self-paced on your time,Dartmouth College,Santiago Gallino-Antonio Moreno-Garcia,Intermediate,Business & Management,English,English,20,7870.5
Site Planning Online,"How to plan a site, its infrastructure and public spaces so that it is sustainable, supports human needs, compatible with its natural and man-made surroundings, adaptable and economically efficient. The course includes many examples of well planned sites.","5,048",Self-paced on your time,Doane University,"Jazmin Oliver-Amanda McKinney, MD, FACLM-Andrea Holmes, PhD",Introductory,Environmental Studies,English,English,40,15820.5
Macroeconometric Forecasting,Learn how to create and assess forecasting models to predict macroeconomic variables such as inflation and economic growth.,"11,765",Self-paced on your time,Amazon Web Services,Russell Sayers-Asim Jalis-Carl Leonard,Intermediate,Computer Science,English,English,16,7870.5
Review of the main EViews commands to manage data. Module 2: Introduction to Forecasting with EViews,,"12,748",Self-paced on your time,Universitat Politècnica de Valencia,Teresa Pardo Vicente-Juan Antonio Llorens Molina,Introductory,Chemistry,Español,Español,24,3895.5
Introduction to the EViews model simulator to estimate and forecast multiple equation models. Module 3: Statistical Properties of Times Series Data,,"5,829",Self-paced on your time,LOGYCA,Kelly Toscano-Edna Melissa Reina Calderon,Intermediate,Economics & Finance,Español,Español,16,3967.05
The concept of stationarity is defined as well as how to test for it. Box-Jenkins (ARMA) methodology to study time series is introduced. Module 4: Forecast Uncertainty and Model Evaluation,,"23,585",Instructor-led on a course schedule,Columbia University,Daniel Guetta,Intermediate,Business & Management,English,English,120,19795.5
How best to choose between forecasts from competing models or sources. Participants will learn the main forecast evaluation statistics and how to calculate them in EViews. Module 5: Vector Auto-Regressions (VARs),,"13,502",Self-paced on your time,IMT,Vincent Gripon-Patrick Meyer-Nicolas Farrugia-Carlos Eduardo Rosar Kos Lassance,Intermediate,Computer Science,English,English,24,3895.5
Understand VARs, how they used for forecasting and structural analysis,NA,Self-paced on your time,Tokyo Institute of Technology,David B. Stewart,Intermediate,Architecture,English,English,25,4690.5
Define and understand the concept of cointegration among unit-root variables and its implications for forecasting. Learn how to test for cointegration using the Johansen method and how to estimate and forecast using a VECM. Module 7: Evaluating Regressions Models,,"5,820",Self-paced on your time,Universitat Politècnica de Valencia,Ignacio Panach-Óscar Pastor-Ana León,Introductory,Computer Science,Español,Español,20,3975
What does it mean to have a �good model� (model evaluation and key model assumptions) and the consequences for forecasting. Introduction to model testing and dealing with error irregularities and structural breaks. Module 8: Final Assignment: Bringing It All Together,,"6,232",Self-paced on your time,Imperial College London,Philip Ramsden-Phil Chaffe,Intermediate,Math,English,English,28,3895.5
"An overview of the techniques studied is provided using a case study focused on private saving-consumption behavior in the U.S. before and after the global financial crisis.""",https://www.edx.org/course/macroeconometric-forecasting-2,"14,219",Self-paced on your time,Universitat Politècnica de Valencia,Pilar Candelas Valiente-M. Ángeles Hernández Fenollosa-Constanza Rubio Michavila-Marcos Giménez Valentín,Introductory,Physics,Español,Español,24,3895.5
Administraci�n p�blica y fiscal: c�mo se gestiona un gobierno,Aprender�s de manera sencilla y cercana como se mide la calidad de la administraci�n p�blica y fiscal de tu pais y ver�s en que lugar se encuentra respecto al resto de Am�rica Latina y el Caribe.,"21,949",Self-paced on your time,University of Washington,Luke Panezich-Debra Hildebrand,Introductory,Business & Management,English,English,30,15820.5
Fundamentals of Red Hat Enterprise Linux,NA,"15,184",Self-paced on your time,Massachusetts Institute of Technology,Bill Aulet-Erdin Beshimov,Introductory,Business & Management,English,English,40,23850
Algorithms,Learn how to structure and use algorithms to solve real life problems.,"9,383",Self-paced on your time,Universidad Carlos III de Madrid,Carlos Santiuste-Francisco Javier Sánz García-Carmen González Marín-Virginia Fusco,Introductory,Philosophy & Ethics,Español,Español,18,2305.5
Calculus Applied!,"Apply tools of single-variable calculus to create and analyze mathematical models used by real practitioners in social, life, and physical sciences.",NA,Self-paced on your time,Wageningen University & Research,Dr. Ir. Henk Ritzema-Dr. Ir. Klaas Metselaar-Dr. Ir. Jos van Dam-Dr. Ir. Lodewijk Stuyt,Advanced,Environmental Studies,English,English,100,3895.5
Precalculus,"This college-level, credit-eligible Precalculus course will teach you the skills required for success in future Calculus studies.","6,460",Self-paced on your time,Universitat Politècnica de Valencia,José Ramón Díaz Sáenz Díaz Sáenz-Luisa Tolosa Robledo-Carlos Hernández Franco,Introductory,Communication,Español,Español,24,3975
Fundamentos de anatom�a y t�cnica quir�rgica b�sica,Aprende de una manera creativa y divertida c�mo est� constituido el cuerpo humano a trav�s de casos cl�nicos seleccionados basados en hechos hist�ricos reales. Adem�s conocer�s las bases anat�micas para la pr�ctica de algunos procedimientos de emergencias que pueden llegar a salvar vidas.,"11,953",Self-paced on your time,Universidad Galileo,Preng Biba-Rodrigo Baessa-Eduardo Corpeño,Intermediate,Electronics,Español,Español,40,3895.5
Business Communications,Learn how to communicate effectively in a business setting: understand diverse audiences and build sound arguments.,"12,145",Self-paced on your time,Davidson Next,Larry Cain-Robert Morse-Peggy Bertrand,Introductory,Physics,English,English,32,3895.5
Italian Language and Culture: Intermediate (2019-2020),"Improve your Italian language skills and expand your vocabulary while you learn about Italian art, literature and contemporary society.","71,203",Self-paced on your time,The Hong Kong University of Science and Technology,Ting-Chuen Pong-Tony W K Fung-Leo P M Fan,Introductory,Computer Science,English,English,25,7870.5
International Women's Health and Human Rights,"This self-paced course provides an overview of women's health and human rights, beginning in infancy and childhood, then moving through adolescence, reproductive years and aging. We consider economic, social, political and human rights factors, and the challenges women face in maintaining health and managing their lives in the face of societal pressures and obstacles.","29,433",Self-paced on your time,Davidson Next,Clark Ross-Sally Meek,Introductory,Economics & Finance,English,English,72,3895.5
Blockchain: Understanding Its Uses and Implications,"Understand exactly what a blockchain is, its impact and potential for change around the world, and analyze use cases in technology, business, and enterprise products and institutions.","12,056",Self-paced on your time,Inter-American Development Bank,Emma Naslund-Hadley-Juan Paredes,Introductory,Education & Teacher Training,English,"English, Español",50,1987.5
"A-level Mathematics for Year 12 - Course 1: Algebraic Methods, Graphs and Applied Mathematics Methods",NA,NA,Self-paced on your time,Universidad Autónoma de Madrid,Helena González-Vaquerizo-Araceli Striano Corrochano-Raquel Fornieles Sánchez,Introductory,Language,Español,Español,25,3895.5
Blockchain Technology,This course is part of a Professional Certificate,"8,429",Self-paced on your time,IBM,Joseph Santarcangelo,Advanced,Data Analysis & Statistics,English,English,20,7870.5
Basics of Power BI,"This learning resource will give learners the knowledge and the confidence to use the Power BI tool over other methods of recording, visualising and presenting data such as PowerPoint presentations.","10,696",Self-paced on your time,University of Hong Kong,David L. Bishop-David S. Lee,Introductory,Economics & Finance,English,"English, English, 中文, 中文",30,15820.5
Preparing to Network in English,Learn the basics of networking while you grow your social network and professional connections. Practice speaking to improve your English language skills for increased success in job hunting.,"23,828",Self-paced on your time,Tsinghua University,Pei-Luen Patrick Rau,Advanced,Engineering,English,English,35,11050.5
Introduction to networking and an overview of the reasons for networking, such as getting a job or a promotion or expanding your sales portfolio. You�ll also define your goals and share ideas with fellow learners around the globe. Week 2: Who is in Your Network?,"19,926",Self-paced on your time,Universidad Carlos III de Madrid,Manuel Sanjurjo Rivo-Mario Merino-Eduardo Ahedo-Manuel Soler,Introductory,Engineering,English,English,28,10255.5
Identify the people who are part of your own personal network. Analyze and decide who you want to connect with most. Pinpoint reasons for helping others and getting help yourself. Discuss priorities with your fellow learners. Week 3: Introductions,,NA,Self-paced on your time,Wageningen University & Research,Emiel Wubben-Jos Bijman-Renzo Akkerman-Argyris Kanellopoulos,Advanced,Business & Management,English,English,80,11845.5
Learn key language to introduce yourself and tomake introductions. Take a quiz on key language and practice introducing yourself.Record an introduction and get feedback from fellow learners. Week 4: Making Contact,,"5,540",Self-paced on your time,Inter-American Development Bank,Emiliana Vegas,Introductory,Education & Teacher Training,English,English,40,1987.5
"Learn how to introduce yourself in a business setting. Give and receive business cards aand develop a LinkedIn profile headline and summary.""",https://www.edx.org/course/preparing-to-network-in-english,"14,199",Self-paced on your time,Delft University of Technology,Frank Rieck-Roland Steinmetz-Rick Wolbertus-Bert van Wee,Intermediate,Business & Management,English,English,20,3975
Mandarin Chinese Essentials,"This course is your first crucial step to learning Mandarin Chinese. Learn essential skills for communicating in Chineseincluding tones, pinyin, grammar, characters, and basic structures all within the context of a business environment.",NA,Self-paced on your time,Massachusetts Institute of Technology,Rafael Jaramillo-Jessica Sandland-John Harrold,Intermediate,Engineering,English,English,192,11925
Learn the most crucial characteristic of Mandarin Chinese-tones. You cannot speak Mandarin without singing, without tones. Week 2: Pinyin ,"14,846",Self-paced on your time,Massachusetts Institute of Technology,Peter Dourmashkin-George Stephans-Deepto Chakrabarty-Analia Barrantes,Intermediate,Physics,English,English,168,3895.5
It is absolutely useful for beginners to learn Pinyin, a transcription consisting of Latin characters. Week 3: Chinese characters,"12,415",Self-paced on your time,Delft University of Technology-Wageningen University & Research-Delft University & Wageningen University,Gert Spaargaren-Ellen van Bueren-Co-creating sustainable cities – Course contributors,Advanced,Social Sciences,English,English,64,3895.5
After learning Pinyin and tones, you may try to 'draw' characters stroke by stroke. Week 4: One Character One Syllable,NA,Self-paced on your time,Universidad Autónoma de Madrid,Pablo Rodríguez Herrero-Agustín de la Herrán Gascón,Introductory,Education & Teacher Training,Español,Español,15,3895.5
It is essential to know that one character contains only one syllable. There is no prefix or suffix in Chinese. W eek 5: One basic Chinese structure,,"6,608",Self-paced on your time,Kyoto University,Tetsuji Iseda,Introductory,Philosophy & Ethics,English,English,15,3895.5
Introduction to basic Chinese structure," knowing and practicing basic sentences in everyday scenario.""",NA,Self-paced on your time,Rochester Institute of Technology,David Neumann,Introductory,Communication,English,English,18,15820.5
Human Rights: The Rights of Refugees,Take action for human rights. This course will teach you about the human rights of refugees and empower you to defend them.,"12,853",Self-paced on your time,The University of Michigan,Kristin Fontichiaro,Introductory,Humanities,English,English,12,3895.5
What do Architects and Urban Planners do?,Discover how spatial design professionals make a difference in society,"24,273",Self-paced on your time,The University of Michigan-Microsoft Education,Deborah Loewenberg Ball-Nell Duke-Liz Kolb-Elizabeth Birr Moje,Advanced,Education & Teacher Training,English,English,24,15820.5
"U.S. Political Institutions: Congress, Presidency, Courts, and Bureaucracy",Examine the inner workings of the three branches of the U.S. Federal Government,NA,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Michael Pratt,Introductory,Business & Management,English,English,12,11845.5
In this session, we will examine how their constituencies affect the behavior of members of Congress,NA,Self-paced on your time,Imperial College London,Philip Ramsden-Phil Chaffe,Intermediate,Math,English,English,28,3895.5
This session will describe the role of parties in Congress and explain the developments that have contributed to party polarization within Congress. We�ll examine the 2013 government shutdown as a case study in party conflict. The session will also explain why Congress�s fragmented structure makes it difficult for Congress to take the lead on major national issues while making it perfectly suited to taking on scores of smaller issues at once. Week 3: Presidents & Domestic Policy ,,NA,Instructor-led on a course schedule,New York University,Scott Fitzgerald,Introductory,Art & Culture,English,English,140,19795.5
This session will examine the factors that affect presidential success in the area of domestic policy. Several factors will be mentioned, but the focus will be the partisan makeup of Congress�whether a majority of its members are from the president�s party. The 1964 food stamp bill and the 1996 welfare bill will be used to illustrate the relationship between presidential success and Congress�s partisan makeup. Week 4: Presidents & Foreign Policy ,"11,859",Self-paced on your time,Universitat Politècnica de Valencia,Carmen Gómez Benito-Teresa Pardo Vicente-Juan Antonio Llorens Molina,Introductory,Chemistry,Español,Español,16,1987.5
In this session, we�ll examine the president�s comparative advantages�for example,"11,865",Self-paced on your time,Ural Federal University,Dmitry Pelegov,Introductory,Science,English,English,24,3895.5
In this session, we�ll examine the federal bureaucracy�its structure,"60,943",Self-paced on your time,Catalyst,Tolonda M. Tolbert-Jared Cline-Audrey Gallien,Introductory,Communication,English,English,2,1987.5
This session will examine judicial power and the influence of politics on Supreme Court decisions. We will also consider the normative question of how much power an unelected judiciary should have in a democratic system. The primary case study in this session will be the Supreme Court�s ruling in Citizens United v. Federal Election Commission (2010)," which struck down an act of Congress prohibiting independent campaign expenditures by corporations and labor unions.""","13,616",Self-paced on your time,Curtin University,Tama Leaver-Gwyneth Peaty,Introductory,Communication,English,English,12,11050.5
Negotiation Skills and Effective Communication,"It analyzes the �social� perspective of a negotiation and its impact on successful agreements, as well as the risks of ignoring it, or disregarding its applicability.","17,299",Self-paced on your time,University of Washington,Luke Panezich,Introductory,Business & Management,English,English,30,15820.5
AP� English Literature & Composition � Part 1: Stories,Enhance your ability to read and write about great literature in preparation for the AP� English Literature & Composition exam.,"22,327",Self-paced on your time,edX,Mark Rudnick-Ildi Morris,Introductory,Education & Teacher Training,English,English,2,7870.5
Overview of form and vocabulary,,NA,Self-paced on your time,Universidad Autónoma de Madrid,Claudia Messina Albarenque-Tamara Ambrona Benito-Gema de Pablo González,Introductory,Education & Teacher Training,Español,Español,16,3895.5
Goals of AP coursesWhat is Gothic horror?Mary Shelley: Her Life, Her MonsterWeek 2: Shelley 2What is close reading?Frankenstein: Then and NowPractice Test 1: Multiple ChoiceWeek 3: Stoker 1Why write about literature?The Real Dracula: Vlad the ImpalerWeek 4: Stoker 2What is literary evidence?Vampires: Not just for breakfastHow can you plan your writing?Practice Test 2: Essay/Free ResponseWeek 5: Beloved 1Practice Test 3: Multiple ChoiceToni Morrison and BelovedWriting: Introductions are Hard!Week 6: Writing about Fiction & Beloved 2What are editing and revising?Practice Text 4: Essay/Free ResponseWeek 7: Final Exam,"8,342",Instructor-led on a course schedule,"The University of Maryland, College Park-University System of Maryland",P.K. Kannan-Margrét Bjarnadóttir-Kislaya Prasad-Lingling Zhang,Advanced,Business & Management,English,English,70,17013
"Viruses & How to Beat Them: Cells, Immunity, Vaccines","Learn how our immune system fights viral disease and make better vaccination decisions with a clearer understanding of Cells, Viruses, and Immunity.","33,710",Self-paced on your time,KU Leuven University,Monique Snoeck,Introductory,Computer Science,English,English,15,3895.5
Alianzas: un veh�culo para lograr el desarrollo sostenible,"MOOC desarrollado en colaboraci�n con la Red de Soluciones de Desarrollo Sostenible de la ONU (SDSN), en el que se analiza la contribuci�n de las alianzas al desarrollo sostenible, con metodolog�as y casos de �xito para implementarlas.","16,904",Instructor-led on a course schedule,Boston University,Paul R. Carlile-Ben Lubin,Advanced,Computer Science,English,English,30,31720.5
Designing and Creating Skirts,"Learn the construction and style adaptations of skirts from a design and creation perspective, completing the course with your own designed, and made to measure finished skirt sample.","6,570",Self-paced on your time,The International Monetary Fund,Tobias (Murto) Wickens,Introductory,Data Analysis & Statistics,English,English,24,1987.5
_How to make patterns for specific garments,,"20,189",Self-paced on your time,Inter-American Development Bank,Dalve Soria Alves-Edgar Zamora-Marisela Ponce de León-Ana María Pinto,Introductory,Engineering,Español,Español,30,1987.5
_How to assemble garments,,"5,464",Self-paced on your time,Wageningen University & Research,Harry Bitter-Maria Barbosa-Corjan van den Berg-Paul Struik,Advanced,Energy & Earth Sciences,English,English,140,11845.5
_The history of fashionable skirt designs,,"15,157",Self-paced on your time,Wits University,David Rubin-Tak Igusa-Robyn Letts,Intermediate,Medicine,English,English,36,11050.5
"*How to design fashion garments""",_Week 1 � Understand how to record body measurements used to create skirts,NA,Self-paced on your time,Universidad del Rosario,Jefferson Sarmiento Rojas-Daniel Alejandro Quiroga Torres-Pedro Antonio Aya Parra,Intermediate,Data Analysis & Statistics,Español,Español,24,3895.5
_Week 2 - Create a skirt block made from measurements, along with sewing a fitting sample and completing a fit analysis,NA,Self-paced on your time,Tecnológico de Monterrey,José Antonio Núñez Mora,Advanced,Data Analysis & Statistics,Español,Español,32,3974.205
_Week 3 � Develop skirt adaptations; waist finishes, pockets,"17,087",Self-paced on your time,The University of Queensland,Blake McKimmie-Wen Wu,Introductory,Humanities,English,English,14,7870.5
_Week 4&5 - Gain appreciation of the history of designer skirts and develop the skills to design a unique range of skirts using a template. Taking one skirt design and completing the industry specification sheet for production," creating the pattern and sewing a finished sample.""","6,277",Self-paced on your time,Delft University of Technology,Conny Bakker-Ruud Balkenende-Janne de Hoop-Jos Vlugter,Intermediate,Design,English,English,24,3975
C�mo Aprender Online,Aprende las estrategias esenciales para un aprendizaje en l�nea exitoso,"17,946",Self-paced on your time,Delft University of Technology,Richard H.M. Goossens,Introductory,Design,English,English,32,10255.5
Computing in Python II: Control Structures,"Learn about control structures, one of the most powerful parts of programming. This course covers conditionals, loops, functions, and error handling, specifically in Python but with broader applicability to other languages as well.",NA,Self-paced on your time,Universidad Nacional de Córdoba,Roberto Peralta,Intermediate,Biology & Life Sciences,Español,"English, Español",28,7870.5
Facebook Ads: C�mo utilizar el poder de la publicidad en Facebook,"Aprende a crear campa�as publicitarias exitosas. Accede a tutoriales paso a paso de Audience Insights, Pixel de Facebook, A/B Testing y m�s.","9,717",Instructor-led on a course schedule,Massachusetts Institute of Technology,Polina Anikeeva-Jessica Sandland,Advanced,Engineering,English,English,195,11925
Machine Learning Fundamentals,"Understand machine learning's role in data-driven modeling, prediction, and decision-making.","13,277",Self-paced on your time,Universidad Autónoma de Madrid,Pedro García Martín,Introductory,History,Español,Español,49,1510.5
Pre-University Calculus,Prepare for Introductory Calculus courses.,"22,269",Self-paced on your time,University of Adelaide,Frank Schultmann-Noel Lindsay-Anton Jordaan-John Sing,Introductory,Business & Management,English,English,15,15820.5
Tsinghua Chinese: Start Talking with 1.3 Billion People,Beginners' Chinese course from China's top university.,"9,071",Self-paced on your time,The Smithsonian Institution,Richard Kurin,Introductory,Humanities,English,English,10,3975
Deep Learning with Python and PyTorch,This course is the second part of a two-part course on how to develop Deep Learning models using Pytorch.,"43,045",Self-paced on your time,Harvard University,Peter K. Bol-William C. Kirby,Introductory,History,English,"English, 中文",45,11050.5
Dise�a presentaciones eficaces con Powerpoint,Aprende las bases para realizar una presentaci�n eficaz con Powerpoint que llegue a tu p�blico objetivo,"6,573",Instructor-led on a course schedule,Université catholique de Louvain,Nathalie Schiffino-Leclercq-Pierre Baudewyns-Vincent Legrand-Min Reuchamps,Intermediate,Social Sciences,English,English,60,3975
World of Wine: From Grape to Glass,"Learn about the principles and practices of how grapes are grown and wine is made. Whether you�re a wine novice or a seasoned oenophile, you�ll learn to confidently describe wine appearance, aroma, flavour and taste.","17,505",Self-paced on your time,"University of California, Berkeley",Ani Adhikari-John DeNero-David Wagner,Introductory,Computer Science,English,English,30,15820.5
Sustainable Cities,"Learn how government, the private sector, and other actors can support sustainable urban development","41,268",Self-paced on your time,University of Adelaide,Katrina Falkner-​Claudia Szabo-Nick Falkner,Introductory,Computer Science,English,English,100,15820.5
Introduction to Developmental Psychology,"Learn how we develop over our lifetime, including our ability to think, communicate, and form social attachments.",NA,Self-paced on your time,The International Monetary Fund,Tobias (Murto) Wickens,Intermediate,Economics & Finance,English,English,48,1987.5
Creativity & Entrepreneurship,"Learn skills and listen to examples from world-renown entrepreneurs and innovators as they discuss the parallels between the creative and entrepreneurial journeys -- and why entrepreneurship, much like music or creativity, is something we all possess.","9,709",Instructor-led on a course schedule,Chalmers University of Technology,Lars Hammarstrand,Advanced,Engineering,English,English,120,23770.5
College Algebra and Problem Solving,Learn the basics of Algebra while preparing for future courses in Calculus through this credit-eligible college level math course.,NA,Self-paced on your time,Universitat Politècnica de Valencia,Jorge Sastre Martínez-Montse Briceño Mezquita-Elena Pelejero Ibáñez,Introductory,Music,Español,Español,25,2385
Academic writing for clarity and meaning,NA,"8,222",Self-paced on your time,Harvard University,Thomas Forrest Kelly,Introductory,Humanities,English,English,15,3895.5
Financial Development and Financial Inclusion,"Learn how to develop an efficient, inclusive and stable financial sector that is essential for a thriving economy.","15,014",Self-paced on your time,Delft University of Technology,Stephanie Wehner-Lieven Vandersypen-Menno Veldhorst,Introductory,Science,English,English,18,3975
Global Public Health,"Understanding the value of health not just as a benefit or right of individuals, but as a global public need.","20,444",Self-paced on your time,Wits University,Ivan Hofsajer,Introductory,Engineering,English,English,24,13435.5
Beyond the hereditary connections between parents and children or the implications of communicable diseases, public health has intrinsic value as a basic human right. Furthermore,"15,349",Self-paced on your time,Universidad Autónoma de Madrid,Felix Duque-Ángel Gabilondo-Valerio Rocco-Marcela Vélez,Introductory,Philosophy & Ethics,Español,Español,25,3895.5
1.2 Multiple Determinants of Health,,"16,719",Self-paced on your time,Babson College,Peter Cohan,Intermediate,Business & Management,English,English,24,15820.5
1.3 Evolution of Global Public Health,,"23,275",Self-paced on your time,University of Washington,David Aucsmith,Introductory,Computer Science,English,English,30,15820.5
1.4 Measuring Health Status 2: Trends in Public Health2.1 Demographic and Epidemiological Transitions,,NA,Self-paced on your time,Universidad Galileo,Jojo Giuffra-Pedro Borrayo,Intermediate,Engineering,English,English,40,3895.5
2.2 Economics to Equity in Health,,NA,Self-paced on your time,Arm Education,Khaled Benkrid-Shuojin Hang-Mark Allen-Tim Wilmshurst,Intermediate,Computer Science,English,English,36,11845.5
2.3 Globalization and Its Impact on Public Health 3: Infectious Diseases3.1 The Changing Patterns of Infectious Diseases in Time and Place,,"12,318",Self-paced on your time,Curtin University,Patricia Marshall,Introductory,Medicine,English,English,20,11050.5
3.2 Control, Elimination,"5,517",Self-paced on your time,University of Adelaide,Mario Ricci-Danijela Menicanin-Kathy Gatford-Corinna Van Den Heuvel,Intermediate,Biology & Life Sciences,English,English,18,13435.5
3.3 Zoonoses,,"71,290",Self-paced on your time,Columbia University,Fred Jiang-Julia Hirschberg-Michael Collins-Shih-Fu Chang,Introductory,Computer Science,English,English,50,7870.5
3.4 New and Re-emerging Infectious Diseases,,"48,539",Self-paced on your time,Australian National University,Brian Schmidt-Paul Francis,Intermediate,Physics,English,English,36,3975
3.5 Childhood Diseases with a Focus on Diarrhea and Pneumonia 4: Maternal and Child Health4.1 Child Health,,NA,Self-paced on your time,Stanford University,Mark D. Zoback-Arjun H. Kohli,Introductory,Energy & Earth Sciences,English,English,80,10255.5
4.2 Maternal Health ,,NA,Self-paced on your time,Queen’s University,Jim Hamilton-Michael Cant,Introductory,Business & Management,English,English,36,11845.5
4.3 The Sexual and Reproductive Health Agenda,,NA,Self-paced on your time,IBM,Joseph Santarcangelo,Introductory,Data Analysis & Statistics,English,English,25,3100.5
4.4 The Long Shadow of Childhood Undernutrition 5: Non-Communicable Diseases � Part I5.1 Introduction to NCDs,,"14,266",Self-paced on your time,Universidad Galileo,Rocael Hernández Rissardini-Miguel Morales-Mónica Mishell Pérez de Santisteban-Carla Sandoval Orellana,Intermediate,Humanities,Español,Español,20,3895.5
5.2 Impact of Tobacco Abuse,,"24,444",Self-paced on your time,The Linux Foundation,Norm Abramovitz-Tyler Bird-Kevin Rutten,Introductory,Computer Science,English,English,56,13435.5
5.3 Diet and Physical Activity-I,,NA,Self-paced on your time,LOGYCA,Daniela Flórez Ceron-Carlos José Bello Peréz,Introductory,Engineering,Español,Español,25,1987.5
5.4 Diet and Physical Activity-II,,NA,Self-paced on your time,Stanford University,Thi Thanh Hang Pham-Samuel So,Introductory,Medicine,English,English,5,3975
5.5 Overweight, Obesity and Diabetes Mellitus 6: Non-Communicable Diseases � Part II6.1 Cardiovascular Disease,"6,216",Self-paced on your time,University of Baltimore-University System of Maryland,Lyle Denniston,Introductory,Law,English,English,56,2305.5
6.2 Cancers ,,NA,Self-paced on your time,Queen’s University,Michael Cant-Jim Hamilton,Introductory,Business & Management,English,English,36,11845.5
6.3 Respiratory Illnesses,,"16,423",Self-paced on your time,Inter-American Development Bank,Joaquim Tres-Matthew Shearer-Eddy Rekkers-Rodrigo Polanco,Intermediate,Business & Management,Español,Español,40,1987.5
6.4 Mental Health,,"10,969",Self-paced on your time,Tecnológico de Monterrey,Fernando Sandoval Arzaga-Juan Pablo Murra Lascurain-David Salvador Xotlanihua González,Intermediate,Business & Management,Español,Español,48,3895.5
6.5 Injuries (Road Traffic Accidents and Alcohol) 7: Health Systems � Part I7.1 Introduction to Health Systems,,"6,934",Self-paced on your time,Università degli Studi di Napoli Federico II,Gianfranco Pasquino,Introductory,Social Sciences,English,English,36,4690.5
7.2 Delivering Health Services,,NA,Self-paced on your time,Universidad Autónoma de Madrid,María del Pilar Pérez Álvarez-Beatriz Gregoraci Fernández-Pilar Domínguez Lozano,Introductory,Law,Español,Español,30,3895.5
7.3 Health Systems Financing,,"27,241",Instructor-led on a course schedule,University System of Maryland-University of Maryland Global Campus,Patrick Appiah-Kubi-Jarrod Jordan,Intermediate,Computer Science,English,English,80,23770.5
7.4 The Political Economy of Health Systems and Universal Health Coverage 8: Health Systems � Part II8.1 Access to Medicines - I,,"11,055",Self-paced on your time,The University of Michigan,Jamie Mitchell,Advanced,Social Sciences,English,English,80,15820.5
8.2 Access to Medicines - II,,"7,525",Self-paced on your time,The University of Michigan,Kristin Fontichiaro,Introductory,Humanities,English,English,12,3895.5
8.3 Working Towards Health for All,,"8,006",Self-paced on your time,Doane University,Jody Woodworth,Intermediate,Economics & Finance,English,English,50,15820.5
8.4 Governance Mechanisms 9: Environment and Health9.1 Climate Change and Health,,"8,907",Self-paced on your time,Universitat Politècnica de Valencia,Carmen Gómez Benito-Isabel Morera Bertomeu,Introductory,Chemistry,Español,Español,24,3895.5
